pH (eau);pH (eau)_Min;pH (eau)_Max;Carbone organique;Carbone organique_Min;Carbone organique_Max;ratio C/N;ratio C/N_Min;ratio C/N_Max;Azote total;Azote total_Min;Azote total_Max;Phosphore total;Phosphore total_Min;Phosphore total_Max;Bore (eau chaude);Bore (eau chaude)_Min;Bore (eau chaude)_Max;Capacité d'échange cationique;Capacité d'échange cationique_Min;Capacité d'échange cationique_Max
6,3;5,1;7;1,9;1,5;4,5;10,6;9,5;15,5;0,18;0,2;0,4;360;200;600;0,25;0,16;0,9;7;75;200
6,3;5,1;7;1,6;1,5;4,5;10,3;9,5;15,5;0,16;0,2;0,4;178;200;600;0,32;0,16;0,9;8;75;200
5,9;5,1;7;1,6;1,5;4,5;10,9;9,5;15,5;0,19;0,2;0,4;628;200;600;0,09;0,16;0,9;5;75;200
6,4;5,1;7;1,7;1,5;4,5;10,1;9,5;15,5;0,17;0,2;0,4;266;200;600;0,31;0,16;0,9;8;75;200
6,9;5,1;7;2,5;1,5;4,5;10,6;9,5;15,5;0,27;0,2;0,4;357;200;600;0,2;0,16;0,9;15;75;200
6,7;5,1;7;1,7;1,5;4,5;9,1;9,5;15,5;0,16;0,2;0,4;293;200;600;0,3;0,16;0,9;7;75;200
6,7;5,1;7;1,2;1,5;4,5;9,2;9,5;15,5;0,12;0,2;0,4;127;200;600;0,26;0,16;0,9;4;75;200
6,9;5,1;7;1,8;1,5;4,5;9,4;9,5;15,5;0,19;0,2;0,4;255;200;600;0,3;0,16;0,9;9;75;200
7,1;5,1;7;2,2;1,5;4,5;9,9;9,5;15,5;0,22;0,2;0,4;357;200;600;0,35;0,16;0,9;7;75;200
5,5;5,1;7;1,4;1,5;4,5;10,8;9,5;15,5;0,15;0,2;0,4;482;200;600;0,18;0,16;0,9;3;75;200
5,9;5,1;7;0,7;1,5;4,5;8,9;9,5;15,5;0,08;0,2;0,4;239;200;600;0,19;0,16;0,9;3;75;200
6,1;5,1;7;2,2;1,5;4,5;9,7;9,5;15,5;0,2;0,2;0,4;58;200;600;0,32;0,16;0,9;4;75;200
6;5,1;7;2,4;1,5;4,5;12,2;9,5;15,5;0,21;0,2;0,4;537;200;600;0,26;0,16;0,9;6;75;200
5,4;5,1;7;0,9;1,5;4,5;11,7;9,5;15,5;0,09;0,2;0,4;107;200;600;0,13;0,16;0,9;1;75;200
5,6;5,1;7;0,8;1,5;4,5;11,4;9,5;15,5;0,08;0,2;0,4;23;200;600;0,13;0,16;0,9;2;75;200
5,7;5,1;7;2;1,5;4,5;12;9,5;15,5;0,18;0,2;0,4;111;200;600;0,23;0,16;0,9;2;75;200
5,6;5,1;7;1,4;1,5;4,5;10,2;9,5;15,5;0,15;0,2;0,4;153;200;600;0,24;0,16;0,9;2;75;200
6,6;5,1;7;1,9;1,5;4,5;10,2;9,5;15,5;0,16;0,2;0,4;157;200;600;0,3;0,16;0,9;9;75;200
5,9;5,1;7;3,1;1,5;4,5;10,1;9,5;15,5;0,3;0,2;0,4;642;200;600;0,28;0,16;0,9;6;75;200
6,2;5,1;7;1;1,5;4,5;10,5;9,5;15,5;0,1;0,2;0,4;168;200;600;0,2;0,16;0,9;4;75;200
6,1;5,1;7;1,7;1,5;4,5;11,7;9,5;15,5;0,16;0,2;0,4;147;200;600;0,27;0,16;0,9;7;75;200
5,6;5,1;7;1,1;1,5;4,5;11,4;9,5;15,5;0,11;0,2;0,4;114;200;600;0,18;0,16;0,9;3;75;200
6,1;5,1;7;0,7;1,5;4,5;12,8;9,5;15,5;0,06;0,2;0,4;297;200;600;0,15;0,16;0,9;4;75;200
5,8;5,1;7;1,3;1,5;4,5;11;9,5;15,5;0,14;0,2;0,4;311;200;600;0,22;0,16;0,9;3;75;200
5,6;5,1;7;1;1,5;4,5;10;9,5;15,5;0,12;0,2;0,4;45;200;600;0,23;0,16;0,9;3;75;200
6,4;5,1;7;1,7;1,5;4,5;10,4;9,5;15,5;0,17;0,2;0,4;140;200;600;0,28;0,16;0,9;6;75;200
5;5,1;7;1,1;1,5;4,5;9,1;9,5;15,5;0,12;0,2;0,4;107;200;600;0,17;0,16;0,9;1;75;200
6,3;5,1;7;2,4;1,5;4,5;11,1;9,5;15,5;0,21;0,2;0,4;392;200;600;0,3;0,16;0,9;7;75;200
5,9;5,1;7;2,6;1,5;4,5;12,9;9,5;15,5;0,22;0,2;0,4;436;200;600;0,34;0,16;0,9;6;75;200
7;5,1;7;1,5;1,5;4,5;11,6;9,5;15,5;0,18;0,2;0,4;56;200;600;0,11;0,16;0,9;17;75;200
5,9;5,1;7;1,9;1,5;4,5;9,7;9,5;15,5;0,18;0,2;0,4;135;200;600;0,28;0,16;0,9;4;75;200
6,7;5,1;7;1,2;1,5;4,5;10,9;9,5;15,5;0,13;0,2;0,4;65;200;600;0,17;0,16;0,9;5;75;200
6,2;5,1;7;1,5;1,5;4,5;11;9,5;15,5;0,14;0,2;0,4;113;200;600;0,23;0,16;0,9;4;75;200
6,7;5,1;7;1,8;1,5;4,5;10,3;9,5;15,5;0,18;0,2;0,4;307;200;600;0,35;0,16;0,9;9;75;200
6,7;5,1;7;2,2;1,5;4,5;10,5;9,5;15,5;0,22;0,2;0,4;303;200;600;0,37;0,16;0,9;9;75;200
6,1;5,1;7;1,1;1,5;4,5;11,6;9,5;15,5;0,1;0,2;0,4;67;200;600;0,2;0,16;0,9;3;75;200
6,3;5,1;7;1,4;1,5;4,5;10,3;9,5;15,5;0,13;0,2;0,4;142;200;600;0,22;0,16;0,9;5;75;200
6;5,1;7;2,6;1,5;4,5;10,4;9,5;15,5;0,26;0,2;0,4;658;200;600;0,3;0,16;0,9;9;75;200
6,4;5,1;7;1,2;1,5;4,5;10,4;9,5;15,5;0,15;0,2;0,4;10;200;600;0,26;0,16;0,9;7;75;200
6,2;5,1;7;1,5;1,5;4,5;10,6;9,5;15,5;0,15;0,2;0,4;173;200;600;0,23;0,16;0,9;5;75;200
5,3;5,1;7;1;1,5;4,5;11,9;9,5;15,5;0,09;0,2;0,4;19;200;600;0,14;0,16;0,9;2;75;200
6;5,1;7;1,1;1,5;4,5;8,5;9,5;15,5;0,12;0,2;0,4;292;200;600;0,16;0,16;0,9;5;75;200
5,8;5,1;7;1,1;1,5;4,5;9,9;9,5;15,5;0,13;0,2;0,4;288;200;600;0,25;0,16;0,9;5;75;200
6,1;5,1;7;1;1,5;4,5;13;9,5;15,5;0,09;0,2;0,4;131;200;600;0,22;0,16;0,9;3;75;200
5,7;5,1;7;0,9;1,5;4,5;9,6;9,5;15,5;0,1;0,2;0,4;111;200;600;0,16;0,16;0,9;2;75;200
6;5,1;7;1;1,5;4,5;9;9,5;15,5;0,1;0,2;0,4;128;200;600;0,2;0,16;0,9;3;75;200
5,5;5,1;7;0,9;1,5;4,5;10,3;9,5;15,5;0,09;0,2;0,4;243;200;600;0,16;0,16;0,9;2;75;200
6;5,1;7;1;1,5;4,5;9,8;9,5;15,5;0,09;0,2;0,4;109;200;600;0,18;0,16;0,9;3;75;200
5,7;5,1;7;1,1;1,5;4,5;9,5;9,5;15,5;0,12;0,2;0,4;173;200;600;0,18;0,16;0,9;2;75;200
5,6;5,1;7;0,8;1,5;4,5;10,6;9,5;15,5;0,07;0,2;0,4;135;200;600;0,15;0,16;0,9;2;75;200
5,8;5,1;7;1,1;1,5;4,5;9,3;9,5;15,5;0,12;0,2;0,4;62;200;600;0,21;0,16;0,9;3;75;200
5,9;5,1;7;1,1;1,5;4,5;10;9,5;15,5;0,12;0,2;0,4;367;200;600;0,2;0,16;0,9;4;75;200
6,5;5,1;7;1;1,5;4,5;11,8;9,5;15,5;0,1;0,2;0,4;11;200;600;0,25;0,16;0,9;5;75;200
5,5;5,1;7;1;1,5;4,5;11,3;9,5;15,5;0,09;0,2;0,4;81;200;600;0,21;0,16;0,9;1;75;200
6;5,1;7;0,9;1,5;4,5;9,5;9,5;15,5;0,09;0,2;0,4;162;200;600;0,18;0,16;0,9;4;75;200
5,5;5,1;7;0,9;1,5;4,5;9,5;9,5;15,5;0,08;0,2;0,4;94;200;600;0,13;0,16;0,9;2;75;200
5,4;5,1;7;0,8;1,5;4,5;11,8;9,5;15,5;0,07;0,2;0,4;134;200;600;0,15;0,16;0,9;1;75;200
5,7;5,1;7;0,7;1,5;4,5;10,4;9,5;15,5;0,05;0,2;0,4;57;200;600;0,12;0,16;0,9;1;75;200
5,8;5,1;7;1,1;1,5;4,5;11,1;9,5;15,5;0,1;0,2;0,4;135;200;600;0,18;0,16;0,9;2;75;200
6,5;5,1;7;1;1,5;4,5;10,2;9,5;15,5;0,1;0,2;0,4;241;200;600;0,21;0,16;0,9;6;75;200
